date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:41:14	387/387	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:11:19%20GMT	http://devoll.blahlab.com/design/bussiness/2015/04/14/portfolio.html	D:/Blogging%20Site%202/devoll.blahlab.com/design/bussiness/2015/04/14/portfolio.html	(from http://devoll.blahlab.com/design/bussiness/2015/04/14/a-cup-of-coffee-for-you.html)
08:41:15	382/382	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:11:20%20GMT	http://devoll.blahlab.com/design/bussiness/2015/04/14/blog.html	D:/Blogging%20Site%202/devoll.blahlab.com/design/bussiness/2015/04/14/blog.html	(from http://devoll.blahlab.com/design/bussiness/2015/04/14/a-cup-of-coffee-for-you.html)
08:41:15	385/385	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:11:20%20GMT	http://devoll.blahlab.com/design/bussiness/2015/04/14/contact.html	D:/Blogging%20Site%202/devoll.blahlab.com/design/bussiness/2015/04/14/contact.html	(from http://devoll.blahlab.com/design/bussiness/2015/04/14/a-cup-of-coffee-for-you.html)
08:41:15	386/386	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:11:20%20GMT	http://devoll.blahlab.com/design/bussiness/2015/04/14/services.html	D:/Blogging%20Site%202/devoll.blahlab.com/design/bussiness/2015/04/14/services.html	(from http://devoll.blahlab.com/design/bussiness/2015/04/14/a-cup-of-coffee-for-you.html)
08:41:15	385/385	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:11:21%20GMT	http://devoll.blahlab.com/design/development/2015/04/14/index.html	D:/Blogging%20Site%202/devoll.blahlab.com/design/development/2015/04/14/index.html	(from http://devoll.blahlab.com/design/development/2015/04/14/look-what-we-have-done.html)
08:41:16	389/389	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:11:21%20GMT	http://devoll.blahlab.com/design/development/2015/04/14/portfolio.html	D:/Blogging%20Site%202/devoll.blahlab.com/design/development/2015/04/14/portfolio.html	(from http://devoll.blahlab.com/design/development/2015/04/14/look-what-we-have-done.html)
08:41:16	384/384	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:11:21%20GMT	http://devoll.blahlab.com/design/development/2015/04/14/blog.html	D:/Blogging%20Site%202/devoll.blahlab.com/design/development/2015/04/14/blog.html	(from http://devoll.blahlab.com/design/development/2015/04/14/look-what-we-have-done.html)
08:41:16	387/387	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:11:22%20GMT	http://devoll.blahlab.com/design/development/2015/04/14/contact.html	D:/Blogging%20Site%202/devoll.blahlab.com/design/development/2015/04/14/contact.html	(from http://devoll.blahlab.com/design/development/2015/04/14/look-what-we-have-done.html)
08:41:17	388/388	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:11:22%20GMT	http://devoll.blahlab.com/design/development/2015/04/14/services.html	D:/Blogging%20Site%202/devoll.blahlab.com/design/development/2015/04/14/services.html	(from http://devoll.blahlab.com/design/development/2015/04/14/look-what-we-have-done.html)
08:41:17	354/354	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:11:22%20GMT	http://devoll.blahlab.com/blog.html	D:/Blogging%20Site%202/devoll.blahlab.com/blog.html	(from http://devoll.blahlab.com/)
08:41:17	0/-1	---M--	301	error ('')			http://devoll.blahlab.com/blog	D:/Blogging%20Site%202/devoll.blahlab.com/blog.7d.delayed	(from http://devoll.blahlab.com/blog/page2/index.html)
08:41:17	385/385	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:11:22%20GMT	http://devoll.blahlab.com/fonts/steelfish/steelfish_eb-webfont.eot	D:/Blogging%20Site%202/devoll.blahlab.com/fonts/steelfish/steelfish_eb-webfont.eot	(from http://devoll.blahlab.com/css/style.css)
08:41:18	384/384	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:11:23%20GMT	http://devoll.blahlab.com/jekyll/update/2015/02/10/portfolio.html	D:/Blogging%20Site%202/devoll.blahlab.com/jekyll/update/2015/02/10/portfolio.html	(from http://devoll.blahlab.com/jekyll/update/2015/02/10/welcome-to-jekyll.html)
08:41:19	65452/65452	---M--	200	added ('OK')	text/plain	etag:%22100f37-ffac-513ba5eddeb00%22	http://devoll.blahlab.com/fonts/font-awesome/fontawesome-webfont.woff	D:/Blogging%20Site%202/devoll.blahlab.com/fonts/font-awesome/fontawesome-webfont.woff	(from http://devoll.blahlab.com/css/font-awesome.css)
